Reference, Value, Footprint, Datasheet, Desc, PN_DIGIKEY, PRICE_DIGIKEY, Comment
"U1","FT232RQ","QFN50P500X500X90-33N","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","IC USB FS SERIAL UART 32-QFN","768-1008-2-ND","4.60",""
"C2","0805B104J500CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 0.1UF 5% 25V X7R 0805","1292-1564-1-ND","0.18","100nF"
"FB1","BLM21PG221SZ1D","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-us/products/en-us/products/productdata/8796749987870/QNFA9114.pdf","FERRITE BEAD 220 OHM 2A 0805","490-16661-2-ND","0.12","80R/2A"
"C1","0805B103K250CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 10000PF 10% 25V X7R 0805","1292-1561-2-ND","0.11","10nF"
"D1","LG R971-KN-1","LED_SMD:LED_0805_2012Metric","https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf","LED GRN DIF 2.2V 20MA 0805","475-1410-2-ND","0.26",""
"C6","0805B104J500CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 0.1UF 5% 25V X7R 0805","1292-1564-1-ND","0.18","100nF"
"C7","C0805C475K4PACTU","Capacitor_SMD:C_0805_2012Metric","https://api.kemet.com/component-edge/download/datasheet/C0805C475K8RACTU.pdf","CAP CER 4.7UF 10% 10V X7R 0805","399-8101-2-ND","0.28","4.7uF"
"R5","CRCW0805270RJNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 270 OHM 5% 1/8W 0805","541-270ATR-ND","0.10","270"
"D2","LG R971-KN-1","LED_SMD:LED_0805_2012Metric","https://dammedia.osram.info/media/resource/hires/osram-dam-14795755/LG%20R971_EN.pdf","LED GRN DIF 2.2V 20MA 0805","475-1410-2-ND","0.26",""
"R6","CRCW0805270RJNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 270 OHM 5% 1/8W 0805","541-270ATR-ND","0.10","270"
"R7","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R2","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R1","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R3","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"R4","CRCW080510K0JNEA","Resistor_SMD:R_0805_2012Metric","https://www.vishay.com/docs/20035/dcrcwe3.pdf","RES SMD 10K OHM 5% 1/8W 0805","541-10KATR-ND","0.10","10k"
"U2","TPS74633PQWDRBRQ1","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias","https://www.ti.com/lit/ds/symlink/tps746-q1.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1618314944230","AUTOMOTIVE LDO 1-A, LOW-IQ, HIGH-PSR","296-TPS74633PQWDRBRQ1TR-ND","1.32",""
"C4","C0805C106K8PACTU","Capacitor_SMD:C_0805_2012Metric","https://api.kemet.com/component-edge/download/datasheet/C0805C106K8PACTU.pdf","CAP CER 10UF 10% 10V X5R 0805","399-4925-2-ND","0.15","10uF"
"C5","C0805C106K8PACTU","Capacitor_SMD:C_0805_2012Metric","https://api.kemet.com/component-edge/download/datasheet/C0805C106K8PACTU.pdf","CAP CER 10UF 10% 10V X5R 0805","399-4925-2-ND","0.15","10uF"
"C3","0805B103K250CT","Capacitor_SMD:C_0805_2012Metric","http://www.passivecomponent.com/wp-content/uploads/2018/10/MLCC.pdf","CAP CER 10000PF 10% 25V X7R 0805","1292-1561-2-ND","0.11","10nF"
"J1","USB3100-30-A","GCT_USB3100-XX-X_REVB","https://gct.co/files/specs/USB3100-spec.pdf","MICRO USB RECEPTACLE TYPE B 5 PIN SMT HORIZONTAL TOP MOUNT (REVERSE)","2073-USB3100-30-ATR-ND","0.67",""
"U3","AT25SF041B-SHD-B","SOIC127P790X216-8N","https://www.dialog-semiconductor.com/sites/default/files/at25sf041b.pdf","IC FLASH 4MBIT SPI/QUAD 8SOIC","1265-AT25SF041B-SHD-B-ND","0.36",""
