Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 39; 87; 18; 7; 14; 10; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 41.6; 99.6; 17.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 30; 20210529191506
2; 10; 39; 87; 18; 7; 14; 10; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 41.6; 99.6; 17.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 30; 20210529191507
3; 10; 39; 87; 18; 7; 14; 10; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 41.6; 99.6; 17.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529191507
4; 10; 39; 87; 18; 7; 14; 10; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 11; 14.6; 41.6; 99.6; 17.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529191508
5; 10; 39; 82; 17; 7; 14; 10; 11; 38; 47; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 41.6; 98.5; 17.9; 7.3; 16.9; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 30; 20210529191508
6; 10; 38; 76; 16; 7; 13; 10; 10; 36; 45; 15; 5; 2; 3; 9; 5; 8; 10; 14.6; 40.5; 87.0; 15.9; 7.3; 15.7; 5.0; 4.7; 14.3; 18.1; 8.8; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 29; 30; 29; 20210529191509
7; 10; 38; 83; 17; 7; 14; 9; 10; 35; 45; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 90.5; 16.9; 7.3; 16.9; 5.0; 4.7; 14.3; 18.1; 8.8; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529191509
8; 10; 38; 84; 17; 7; 13; 9; 10; 36; 46; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 93.9; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 18.1; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529191510
9; 10; 37; 84; 17; 7; 13; 9; 10; 36; 46; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 96.2; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529191510
10; 10; 37; 84; 17; 7; 13; 9; 10; 36; 46; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 39.4; 96.2; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529191511
