Sample,; A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); G (560nm); H (585nm); R (610nm); I (645nm); S (680nm); J (705nm); T (730nm); U (760nm); V (810nm); W (860nm); K (900nm); L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Cal. G (560nm); Cal. H (585nm); Cal. R (610nm); Cal. I (645nm); Cal. S (680nm); Cal. J (705nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. K (900nm); Cal. L (940nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
10; 2; 3; 7; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 6.3; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 29; 27; 20210428195257
11; 2; 3; 7; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 6.3; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195258
12; 2; 3; 7; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 6.3; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 29; 28; 20210428195258
13; 2; 3; 7; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 6.3; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195258
14; 2; 3; 7; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 6.3; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195259
15; 2; 3; 7; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 6.3; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195259
16; 2; 3; 8; 5; 8; 10; 10; 10; 8; 34; 35; 41; 75; 15; 6; 11; 11; 4; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 37.3; 16.5; 85.9; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195300
17; 2; 3; 8; 5; 8; 11; 10; 10; 9; 34; 34; 41; 77; 15; 6; 11; 11; 4; 1.9; 2.9; 7.2; 4.7; 6.4; 7.0; 5.0; 4.7; 11.7; 13.5; 36.2; 16.5; 87.0; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195300
18; 2; 3; 8; 5; 9; 11; 10; 10; 9; 34; 34; 40; 78; 15; 6; 11; 11; 4; 1.9; 2.9; 7.2; 4.7; 7.2; 7.7; 5.0; 4.7; 13.1; 13.5; 36.2; 16.1; 89.3; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 27; 20210428195300
19; 2; 3; 8; 5; 9; 11; 10; 10; 9; 34; 34; 40; 78; 15; 6; 11; 11; 4; 1.9; 2.9; 7.2; 4.7; 7.2; 7.7; 5.0; 4.7; 13.1; 13.5; 36.2; 16.1; 89.3; 14.9; 6.2; 13.3; 6.4; 3.7; 59; 1; 27; 28; 28; 20210428195301
