Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 16; 53; 107; 22; 9; 17; 14; 14; 49; 62; 19; 6; 2; 5; 14; 8; 15; 17; 23.3; 56.5; 122.5; 21.9; 9.4; 20.6; 7.0; 6.5; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.9; 11.9; 59; 1; 29; 30; 29; 20210529192331
2; 16; 53; 107; 22; 9; 17; 14; 14; 49; 62; 19; 6; 2; 5; 14; 8; 15; 17; 23.3; 56.5; 122.5; 21.9; 9.4; 20.6; 7.0; 6.5; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.9; 11.9; 59; 1; 29; 30; 29; 20210529192334
3; 16; 53; 107; 22; 9; 17; 14; 14; 49; 62; 19; 6; 2; 5; 14; 8; 15; 17; 23.3; 56.5; 122.5; 21.9; 9.4; 20.6; 7.0; 6.5; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.9; 11.9; 59; 1; 29; 30; 29; 20210529192335
4; 16; 53; 107; 22; 9; 17; 14; 14; 49; 62; 19; 6; 2; 5; 14; 8; 15; 17; 23.3; 56.5; 122.5; 21.9; 9.4; 20.6; 7.0; 6.5; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.9; 11.9; 59; 1; 29; 30; 29; 20210529192335
5; 16; 53; 107; 22; 9; 17; 14; 14; 49; 62; 19; 6; 2; 5; 14; 8; 15; 17; 23.3; 56.5; 122.5; 21.9; 9.4; 20.6; 7.0; 6.5; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.9; 11.9; 59; 1; 29; 30; 29; 20210529192336
6; 16; 53; 107; 22; 9; 17; 14; 14; 49; 62; 19; 6; 2; 5; 14; 8; 15; 17; 23.3; 56.5; 122.5; 21.9; 9.4; 20.6; 7.0; 6.5; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.9; 11.9; 59; 1; 29; 30; 29; 20210529192336
7; 15; 53; 103; 21; 9; 17; 14; 15; 51; 62; 19; 6; 2; 5; 13; 8; 14; 17; 21.9; 56.5; 121.4; 21.9; 9.4; 20.6; 7.0; 7.0; 19.5; 24.9; 11.1; 5.5; 1.9; 4.8; 12.6; 7.5; 11.1; 11.9; 59; 1; 29; 30; 29; 20210529192336
8; 15; 51; 105; 21; 9; 17; 14; 14; 51; 61; 18; 6; 2; 5; 13; 8; 14; 16; 21.9; 54.4; 120.3; 20.9; 9.4; 20.6; 7.0; 6.5; 20.3; 24.5; 10.5; 5.5; 1.9; 4.8; 11.7; 7.5; 11.1; 11.2; 59; 1; 29; 31; 29; 20210529192337
9; 15; 48; 105; 21; 9; 16; 14; 14; 46; 59; 18; 6; 3; 5; 14; 9; 13; 17; 21.9; 51.2; 122.5; 20.9; 9.4; 19.3; 6.0; 6.0; 18.3; 22.9; 10.5; 5.5; 1.9; 4.8; 12.6; 7.5; 10.3; 11.2; 59; 1; 29; 30; 29; 20210529192337
10; 15; 49; 108; 21; 9; 16; 13; 14; 52; 59; 18; 6; 3; 5; 14; 9; 14; 17; 21.9; 52.2; 124.8; 20.9; 9.4; 19.3; 6.5; 6.5; 20.7; 23.7; 10.5; 5.5; 2.9; 4.8; 12.6; 8.4; 11.1; 11.9; 59; 1; 29; 30; 29; 20210529192338
