Sample,; A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); G (560nm); H (585nm); R (610nm); I (645nm); S (680nm); J (705nm); T (730nm); U (760nm); V (810nm); W (860nm); K (900nm); L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Cal. G (560nm); Cal. H (585nm); Cal. R (610nm); Cal. I (645nm); Cal. S (680nm); Cal. J (705nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. K (900nm); Cal. L (940nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
10; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 21; 27; 46; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 22.4; 10.9; 52.7; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195520
11; 1; 2; 4; 3; 4; 5; 6; 7; 5; 23; 21; 28; 47; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.1; 22.4; 10.9; 53.8; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 28; 28; 28; 20210428195520
12; 1; 2; 4; 3; 4; 5; 6; 7; 5; 23; 22; 28; 48; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.1; 23.4; 11.3; 53.8; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195520
13; 1; 2; 4; 3; 4; 5; 6; 7; 5; 23; 22; 28; 48; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.1; 23.4; 11.3; 55.0; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 29; 20210428195521
14; 1; 2; 4; 3; 4; 5; 6; 7; 5; 23; 22; 28; 49; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.1; 23.4; 11.3; 56.1; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195521
15; 1; 2; 4; 3; 4; 5; 6; 7; 5; 23; 22; 28; 49; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 9.1; 23.4; 11.3; 55.0; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195522
16; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 28; 48; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.3; 55.0; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195522
17; 1; 2; 4; 3; 4; 5; 6; 6; 5; 22; 22; 28; 46; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.3; 53.8; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 28; 28; 20210428195522
18; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 28; 46; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 2.8; 7.3; 8.7; 23.4; 11.3; 52.7; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195523
19; 1; 2; 4; 3; 4; 5; 6; 7; 5; 22; 22; 28; 47; 10; 4; 8; 8; 3; 1.0; 1.9; 3.6; 2.8; 3.2; 3.5; 3.0; 3.3; 7.3; 8.7; 23.4; 11.3; 52.7; 10.0; 4.2; 9.7; 4.7; 2.7; 59; 1; 27; 29; 28; 20210428195523
