Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 39; 86; 18; 7; 13; 11; 11; 36; 48; 15; 5; 2; 4; 9; 5; 9; 11; 14.6; 41.6; 98.5; 17.9; 7.3; 15.7; 5.5; 5.1; 14.3; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192635
2; 10; 39; 86; 18; 7; 13; 11; 11; 36; 48; 15; 5; 2; 4; 9; 5; 9; 11; 14.6; 41.6; 98.5; 17.9; 7.3; 15.7; 5.5; 5.1; 14.3; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192639
3; 10; 40; 86; 17; 7; 13; 10; 10; 35; 48; 15; 5; 2; 4; 9; 5; 9; 11; 14.6; 41.6; 98.5; 17.9; 7.3; 15.7; 5.5; 5.1; 14.3; 19.3; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192640
4; 10; 38; 79; 17; 7; 13; 10; 11; 38; 46; 15; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 90.5; 16.9; 7.3; 15.7; 5.0; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192640
5; 10; 38; 79; 17; 7; 13; 10; 10; 36; 45; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 95.1; 16.9; 7.3; 15.7; 4.5; 4.7; 14.3; 17.7; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 29; 29; 20210529192641
6; 10; 37; 77; 16; 7; 13; 10; 10; 36; 45; 14; 5; 2; 4; 9; 5; 8; 10; 14.6; 40.5; 89.3; 16.9; 7.3; 15.7; 5.0; 4.7; 14.7; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 29; 20210529192641
7; 10; 39; 84; 17; 7; 13; 10; 10; 36; 45; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 41.6; 96.2; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 29; 30; 30; 20210529192642
8; 10; 38; 84; 17; 7; 13; 10; 10; 36; 46; 14; 5; 2; 4; 9; 5; 9; 11; 14.6; 40.5; 96.2; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192642
9; 10; 38; 84; 17; 7; 13; 10; 10; 36; 46; 14; 5; 2; 4; 9; 5; 9; 11; 14.6; 40.5; 96.2; 16.9; 7.3; 15.7; 5.0; 4.7; 14.3; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 29; 30; 20210529192643
10; 10; 38; 77; 16; 7; 13; 10; 10; 37; 44; 14; 5; 2; 4; 9; 5; 9; 10; 14.6; 40.5; 89.3; 16.9; 7.3; 15.7; 5.0; 5.1; 14.7; 18.5; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 7.2; 7.7; 59; 1; 29; 30; 29; 20210529192643
11; 10; 37; 76; 16; 7; 13; 10; 10; 38; 46; 14; 5; 2; 4; 9; 6; 9; 11; 14.6; 40.5; 87.0; 15.9; 7.3; 15.7; 5.0; 5.1; 14.3; 18.5; 8.2; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.7; 59; 1; 29; 30; 30; 20210529192644
