Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213036
2; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213040
3; 28; 78; 140; 27; 12; 20; 34; 35; 100; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.8; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213041
4; 28; 78; 140; 27; 12; 20; 34; 35; 100; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.8; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213041
5; 28; 78; 141; 27; 12; 20; 34; 35; 99; 93; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 161.5; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.4; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213042
6; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213042
7; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 161.5; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213042
8; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213043
9; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 29; 20210712213043
10; 28; 78; 140; 27; 12; 20; 34; 35; 99; 92; 20; 8; 4; 17; 43; 25; 42; 44; 40.8; 83.1; 160.3; 26.9; 12.5; 24.2; 17.0; 16.3; 39.4; 37.0; 11.7; 7.3; 3.8; 16.4; 38.8; 23.3; 33.4; 30.7; 59; 1; 28; 29; 28; 20210712213044
