Sample,; R (610nm); S (680nm); T (730nm); U (760nm); V (810nm); W (860nm); G (560nm); H (585nm); I (645nm); J (705nm); K (900nm); L (940nm); A (410nm); B (435nm); C (460nm); D (485nm); E (510nm); F (535nm); Cal. R (610nm); Cal. S (680nm); Cal. T (730nm); Cal. U (760nm); Cal. V (810nm); Cal. W (860nm); Cal. G (560nm); Cal. H (585nm); Cal. I (645nm); Cal. J (705nm); Cal. K (900nm); Cal. L (940nm); Cal. A (410nm); Cal. B (435nm); Cal. C (460nm); Cal. D (485nm); Cal. E (510nm); Cal. F (535nm); Int Time; Gain; Temp AS72651; Temp AS72652; Temp AS72653; Timestamp
1; 10; 37; 74; 16; 7; 14; 11; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 16.9; 5.5; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212104
2; 10; 37; 74; 16; 7; 14; 11; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 16.9; 5.5; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212108
3; 10; 37; 74; 16; 7; 14; 11; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 16.9; 5.5; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212108
4; 10; 37; 74; 16; 7; 14; 11; 11; 38; 46; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 16.9; 5.5; 5.1; 15.1; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212108
5; 10; 37; 74; 16; 7; 14; 11; 11; 37; 46; 15; 5; 2; 4; 9; 6; 9; 10; 14.6; 39.4; 84.7; 15.9; 7.3; 16.9; 5.5; 5.1; 14.7; 18.5; 8.8; 4.6; 1.9; 3.9; 8.1; 5.6; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212109
6; 10; 35; 77; 16; 6; 13; 10; 10; 34; 45; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 37.3; 84.7; 14.9; 6.2; 15.7; 4.5; 4.7; 13.5; 17.7; 8.2; 4.6; 1.9; 2.9; 8.1; 5.6; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712212109
7; 10; 36; 77; 16; 6; 13; 10; 10; 36; 44; 14; 5; 2; 3; 9; 6; 9; 10; 14.6; 38.4; 88.2; 15.9; 6.2; 15.7; 5.5; 5.1; 14.3; 18.1; 8.2; 4.6; 1.9; 3.9; 8.1; 4.7; 7.2; 7.0; 59; 1; 28; 29; 28; 20210712212110
8; 10; 35; 77; 16; 6; 13; 10; 10; 35; 42; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 37.3; 87.0; 15.9; 6.2; 15.7; 4.5; 4.7; 13.9; 17.7; 8.2; 4.6; 1.9; 2.9; 8.1; 5.6; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712212110
9; 10; 34; 76; 15; 6; 13; 9; 10; 36; 42; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 36.2; 87.0; 14.9; 6.2; 15.7; 5.0; 4.7; 14.3; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712212111
10; 10; 35; 77; 15; 6; 13; 10; 10; 34; 43; 14; 5; 2; 3; 9; 5; 8; 10; 14.6; 37.3; 85.9; 14.9; 6.2; 15.7; 5.0; 4.7; 13.5; 16.9; 8.2; 4.6; 1.9; 2.9; 8.1; 4.7; 6.4; 7.0; 59; 1; 28; 29; 28; 20210712212111
