"id","R","S","T","U","V","W","G","H","I","J","K","L","A","B","C","D","E","F","don","label"
1,13.1,38.4,91.6,16.9,6.2,15.7,5,4.7,13.9,17.7,8.2,4.6,1.9,2.9,7.2,4.7,6.4,7,307,"21227"
1,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
1,14.6,40.5,92.8,16.9,7.3,16.9,5,5.1,14.7,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
1,14.6,40.5,95.1,16.9,7.3,15.7,5,4.7,13.5,18.5,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,799,"21210"
1,14.6,41.6,98.5,17.9,7.3,15.7,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"sadio"
1,14.6,41.6,99.6,17.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"21201"
1,14.6,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2113,"21197"
1,16,38.4,95.1,16.9,7.3,16.9,5,4.7,14.7,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1508,"21198"
1,16,40.5,97.3,16.9,7.3,16.9,5,4.7,14.7,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1788,"21195"
1,16,41.6,98.5,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
1,16,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
2,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
2,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
2,14.6,40.5,95.1,16.9,7.3,15.7,5,4.7,13.5,18.5,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,799,"21210"
2,14.6,41.6,98.5,17.9,7.3,15.7,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"sadio"
2,14.6,41.6,98.5,17.9,7.3,16.9,5,4.7,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"21202"
2,14.6,41.6,99.6,17.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"21201"
2,14.6,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
2,16,38.4,95.1,16.9,7.3,16.9,5,4.7,14.7,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1508,"21198"
2,16,40.5,97.3,16.9,7.3,16.9,5,4.7,14.7,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1788,"21195"
2,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
2,16,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
3,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
3,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
3,14.6,40.5,95.1,16.9,7.3,15.7,5,4.7,13.5,18.5,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,799,"21210"
3,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
3,14.6,41.6,98.5,17.9,7.3,15.7,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"sadio"
3,14.6,41.6,99.6,17.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"21201"
3,14.6,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
3,16,38.4,95.1,16.9,7.3,16.9,5,4.7,14.7,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1508,"21198"
3,16,40.5,97.3,16.9,7.3,16.9,5,4.7,14.7,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1788,"21195"
3,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
3,16,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
4,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
4,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
4,14.6,40.5,90.5,16.9,7.3,15.7,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"sadio"
4,14.6,40.5,95.1,16.9,7.3,15.7,5,4.7,13.5,18.5,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,799,"21210"
4,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
4,14.6,41.6,99.6,17.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"21201"
4,14.6,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
4,16,38.4,95.1,16.9,7.3,16.9,5,4.7,14.7,17.3,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1508,"21198"
4,16,40.5,97.3,16.9,7.3,16.9,5,4.7,14.7,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,8.4,1788,"21195"
4,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
4,16,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
5,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.5,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
5,14.6,38.4,90.5,15.9,7.3,16.9,4.5,4.7,15.1,18.1,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,1788,"21195"
5,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
5,14.6,40.5,95.1,16.9,7.3,15.7,4.5,4.7,14.3,17.7,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"sadio"
5,14.6,40.5,95.1,16.9,7.3,15.7,5,4.7,13.5,18.5,8.2,4.6,1.9,3.9,8.1,4.7,6.4,7,799,"21210"
5,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
5,14.6,41.6,98.5,17.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,0,"21201"
5,14.6,42.6,87,16.9,7.3,16.9,5.5,5.1,14.7,18.9,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
5,14.6,42.6,96.2,16.9,7.3,16.9,5.5,5.1,14.3,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2113,"21197"
5,16,37.3,98.5,16.9,7.3,15.7,4.5,4.2,14.3,16.5,8.8,4.6,1.9,3.9,9,4.7,7.2,7.7,1508,"21198"
5,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
6,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,13.9,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
6,14.6,39.4,90.5,16.9,7.3,15.7,5,4.7,14.3,18.1,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
6,14.6,39.4,92.8,16.9,7.3,15.7,5,4.7,13.5,18.1,8.2,4.6,1.9,2.9,7.2,4.7,6.4,7,799,"21210"
6,14.6,39.4,95.1,16.9,7.3,16.9,5,4.7,15.1,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,1508,"21198"
6,14.6,40.5,87,15.9,7.3,15.7,5,4.7,14.3,18.1,8.8,4.6,1.9,2.9,8.1,4.7,6.4,7,0,"21201"
6,14.6,40.5,89.3,15.9,7.3,15.7,4.5,4.7,14.7,18.1,8.8,4.6,1.9,3.9,9,5.6,7.9,7.7,1788,"21195"
6,14.6,40.5,89.3,16.9,7.3,15.7,5,4.7,14.7,18.1,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"sadio"
6,14.6,40.5,91.6,16.9,7.3,16.9,5,4.7,13.5,18.5,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,2009,"21199"
6,14.6,40.5,96.2,17.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,6.4,7,0,"21202"
6,14.6,42.6,85.9,15.9,7.3,16.9,5.5,5.1,14.3,18.9,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2113,"21197"
6,16,41.6,99.6,16.9,7.3,16.9,5,5.1,15.1,18.5,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
7,13.1,37.3,81.3,15.9,6.2,15.7,4.5,4.7,13.1,16.9,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
